"Year","Site","Treatment","Block","Plot","Species","Rel.cover","Accepted Latin Name or category"
2019,06MAT,CT,1,1,Bet nan,16.3,Betula nana
2019,06MAT,CT,1,3,Bet nan,14.5,Betula nana
2019,06MAT,CT,1,4,Bet nan,15.2,Betula nana
2019,06MAT,CT,1,5,Bet nan,18.2,Betula nana
2019,06MAT,CT,1,6,Bet nan,18.9,Betula nana
2019,06MAT,CT,1,7,Bet nan,9.8,Betula nana
2019,06MAT,CT,1,8,Bet nan,17.1,Betula nana
2019,06MAT,F2,1,1,Bet nan,8.5,Betula nana
2019,06MAT,F2,1,2,Bet nan,16.9,Betula nana
2019,06MAT,F2,1,3,Bet nan,8.2,Betula nana
2019,06MAT,F2,1,4,Bet nan,19.5,Betula nana
2019,06MAT,F2,1,5,Bet nan,3.9,Betula nana
2019,06MAT,F2,1,6,Bet nan,22.0,Betula nana
2019,06MAT,F2,1,7,Bet nan,18.5,Betula nana
2019,06MAT,F2,1,8,Bet nan,7.5,Betula nana
2019,06MAT,F5,1,1,Bet nan,13.7,Betula nana
2019,06MAT,F5,1,2,Bet nan,16.0,Betula nana
2019,06MAT,F5,1,3,Bet nan,1.6,Betula nana
2019,06MAT,F5,1,4,Bet nan,16.5,Betula nana
2019,06MAT,F5,1,5,Bet nan,9.9,Betula nana
2019,06MAT,F5,1,6,Bet nan,17.5,Betula nana
2019,06MAT,F5,1,7,Bet nan,28.6,Betula nana
2019,06MAT,F5,1,8,Bet nan,63.8,Betula nana
2019,06MAT,F10,1,1,Bet nan,41.0,Betula nana
2019,06MAT,F10,1,2,Bet nan,44.8,Betula nana
2019,06MAT,F10,1,3,Bet nan,42.5,Betula nana
2019,06MAT,F10,1,4,Bet nan,61.6,Betula nana
2019,06MAT,F10,1,5,Bet nan,11.9,Betula nana
2019,06MAT,F10,1,6,Bet nan,52.9,Betula nana
2019,06MAT,F10,1,7,Bet nan,67.3,Betula nana
2019,06MAT,F10,1,8,Bet nan,48.9,Betula nana
2019,06MAT,CT,2,1,Bet nan,8.2,Betula nana
2019,06MAT,CT,2,2,Bet nan,17.6,Betula nana
2019,06MAT,CT,2,3,Bet nan,8.7,Betula nana
2019,06MAT,CT,2,4,Bet nan,25.8,Betula nana
2019,06MAT,CT,2,5,Bet nan,13.9,Betula nana
2019,06MAT,CT,2,6,Bet nan,5.2,Betula nana
2019,06MAT,CT,2,7,Bet nan,9.8,Betula nana
2019,06MAT,CT,2,8,Bet nan,16.7,Betula nana
2019,06MAT,F2,2,1,Bet nan,12.2,Betula nana
2019,06MAT,F2,2,2,Bet nan,22.5,Betula nana
2019,06MAT,F2,2,3,Bet nan,8.6,Betula nana
2019,06MAT,F2,2,4,Bet nan,11.6,Betula nana
2019,06MAT,F2,2,5,Bet nan,4.8,Betula nana
2019,06MAT,F2,2,6,Bet nan,7.4,Betula nana
2019,06MAT,F2,2,7,Bet nan,11.5,Betula nana
2019,06MAT,F2,2,8,Bet nan,12.6,Betula nana
2019,06MAT,F5,2,1,Bet nan,22.9,Betula nana
2019,06MAT,F5,2,2,Bet nan,25.3,Betula nana
2019,06MAT,F5,2,3,Bet nan,25.2,Betula nana
2019,06MAT,F5,2,4,Bet nan,22.4,Betula nana
2019,06MAT,F5,2,5,Bet nan,23.7,Betula nana
2019,06MAT,F5,2,6,Bet nan,22.6,Betula nana
2019,06MAT,F5,2,7,Bet nan,31.3,Betula nana
2019,06MAT,F5,2,8,Bet nan,34.0,Betula nana
2019,06MAT,F10,2,1,Bet nan,63.9,Betula nana
2019,06MAT,F10,2,2,Bet nan,58.7,Betula nana
2019,06MAT,F10,2,3,Bet nan,55.1,Betula nana
2019,06MAT,F10,2,4,Bet nan,70.6,Betula nana
2019,06MAT,F10,2,5,Bet nan,68.2,Betula nana
2019,06MAT,F10,2,6,Bet nan,53.9,Betula nana
2019,06MAT,F10,2,7,Bet nan,28.9,Betula nana
2019,06MAT,F10,2,8,Bet nan,57.9,Betula nana
2019,06MAT,CT,3,1,Bet nan,6.1,Betula nana
2019,06MAT,CT,3,2,Bet nan,13.7,Betula nana
2019,06MAT,CT,3,3,Bet nan,24.1,Betula nana
2019,06MAT,CT,3,4,Bet nan,4.9,Betula nana
2019,06MAT,CT,3,5,Bet nan,20.7,Betula nana
2019,06MAT,CT,3,6,Bet nan,28.0,Betula nana
2019,06MAT,CT,3,7,Bet nan,6.3,Betula nana
2019,06MAT,CT,3,8,Bet nan,10.6,Betula nana
2019,06MAT,F2,3,1,Bet nan,13.4,Betula nana
2019,06MAT,F2,3,2,Bet nan,18.8,Betula nana
2019,06MAT,F2,3,3,Bet nan,6.2,Betula nana
2019,06MAT,F2,3,4,Bet nan,22.2,Betula nana
2019,06MAT,F2,3,5,Bet nan,23.5,Betula nana
2019,06MAT,F2,3,6,Bet nan,31.9,Betula nana
2019,06MAT,F2,3,7,Bet nan,10.8,Betula nana
2019,06MAT,F2,3,8,Bet nan,22.4,Betula nana
2019,06MAT,F5,3,1,Bet nan,26.0,Betula nana
2019,06MAT,F5,3,2,Bet nan,15.2,Betula nana
2019,06MAT,F5,3,3,Bet nan,35.3,Betula nana
2019,06MAT,F5,3,4,Bet nan,30.5,Betula nana
2019,06MAT,F5,3,5,Bet nan,32.9,Betula nana
2019,06MAT,F5,3,6,Bet nan,42.6,Betula nana
2019,06MAT,F5,3,7,Bet nan,31.9,Betula nana
2019,06MAT,F5,3,8,Bet nan,43.4,Betula nana
2019,06MAT,F10,3,1,Bet nan,81.1,Betula nana
2019,06MAT,F10,3,2,Bet nan,60.6,Betula nana
2019,06MAT,F10,3,3,Bet nan,40.4,Betula nana
2019,06MAT,F10,3,4,Bet nan,61.7,Betula nana
2019,06MAT,F10,3,5,Bet nan,17.0,Betula nana
2019,06MAT,F10,3,6,Bet nan,33.7,Betula nana
2019,06MAT,F10,3,7,Bet nan,29.6,Betula nana
2019,06MAT,F10,3,8,Bet nan,54.4,Betula nana
2020,06MAT,CT,1,1,Bet nan,7.3,Betula nana
2020,06MAT,CT,1,2,Bet nan,20.8,Betula nana
2020,06MAT,CT,1,3,Bet nan,11.3,Betula nana
2020,06MAT,CT,1,4,Bet nan,17.7,Betula nana
2020,06MAT,CT,1,5,Bet nan,11.2,Betula nana
2020,06MAT,F2,1,1,Bet nan,14.5,Betula nana
2020,06MAT,F2,1,2,Bet nan,17.0,Betula nana
2020,06MAT,F2,1,3,Bet nan,8.9,Betula nana
2020,06MAT,F2,1,4,Bet nan,22.9,Betula nana
2020,06MAT,F2,1,5,Bet nan,4.5,Betula nana
2020,06MAT,F5,1,1,Bet nan,23.1,Betula nana
2020,06MAT,F5,1,2,Bet nan,22.7,Betula nana
2020,06MAT,F5,1,3,Bet nan,7.4,Betula nana
2020,06MAT,F5,1,4,Bet nan,16.7,Betula nana
2020,06MAT,F5,1,5,Bet nan,16.2,Betula nana
2020,06MAT,F10,1,1,Bet nan,35.4,Betula nana
2020,06MAT,F10,1,2,Bet nan,36.4,Betula nana
2020,06MAT,F10,1,3,Bet nan,53.7,Betula nana
2020,06MAT,F10,1,4,Bet nan,61.3,Betula nana
2020,06MAT,F10,1,5,Bet nan,18.0,Betula nana
2020,06MAT,CT,2,1,Bet nan,5.6,Betula nana
2020,06MAT,CT,2,2,Bet nan,20.1,Betula nana
2020,06MAT,CT,2,3,Bet nan,16.8,Betula nana
2020,06MAT,CT,2,4,Bet nan,25.1,Betula nana
2020,06MAT,CT,2,5,Bet nan,9.6,Betula nana
2020,06MAT,F2,2,1,Bet nan,16.2,Betula nana
2020,06MAT,F2,2,2,Bet nan,28.3,Betula nana
2020,06MAT,F2,2,3,Bet nan,17.8,Betula nana
2020,06MAT,F2,2,4,Bet nan,14.2,Betula nana
2020,06MAT,F2,2,5,Bet nan,4.9,Betula nana
2020,06MAT,F5,2,1,Bet nan,25.2,Betula nana
2020,06MAT,F5,2,2,Bet nan,21.8,Betula nana
2020,06MAT,F5,2,3,Bet nan,33.9,Betula nana
2020,06MAT,F5,2,4,Bet nan,26.0,Betula nana
2020,06MAT,F5,2,5,Bet nan,18.0,Betula nana
2020,06MAT,F10,2,1,Bet nan,60.2,Betula nana
2020,06MAT,F10,2,2,Bet nan,12.7,Betula nana
2020,06MAT,F10,2,3,Bet nan,48.1,Betula nana
2020,06MAT,F10,2,4,Bet nan,50.0,Betula nana
2020,06MAT,F10,2,5,Bet nan,48.4,Betula nana
2020,06MAT,CT,3,1,Bet nan,3.7,Betula nana
2020,06MAT,CT,3,2,Bet nan,14.5,Betula nana
2020,06MAT,CT,3,3,Bet nan,4.2,Betula nana
2020,06MAT,CT,3,4,Bet nan,24.2,Betula nana
2020,06MAT,CT,3,5,Bet nan,22.7,Betula nana
2020,06MAT,F2,3,1,Bet nan,32.4,Betula nana
2020,06MAT,F2,3,2,Bet nan,14.4,Betula nana
2020,06MAT,F2,3,3,Bet nan,11.7,Betula nana
2020,06MAT,F2,3,4,Bet nan,17.8,Betula nana
2020,06MAT,F2,3,5,Bet nan,26.8,Betula nana
2020,06MAT,F5,3,1,Bet nan,35.8,Betula nana
2020,06MAT,F5,3,2,Bet nan,22.5,Betula nana
2020,06MAT,F5,3,3,Bet nan,40.0,Betula nana
2020,06MAT,F5,3,4,Bet nan,33.6,Betula nana
2020,06MAT,F5,3,5,Bet nan,33.6,Betula nana
2020,06MAT,F10,3,1,Bet nan,39.7,Betula nana
2020,06MAT,F10,3,2,Bet nan,53.3,Betula nana
2020,06MAT,F10,3,3,Bet nan,57.6,Betula nana
2020,06MAT,F10,3,4,Bet nan,63.4,Betula nana
2020,06MAT,F10,3,5,Bet nan,64.4,Betula nana
2020,06MAT,CT,4,1,Bet nan,3.0,Betula nana
2020,06MAT,CT,4,2,Bet nan,3.2,Betula nana
2020,06MAT,CT,4,3,Bet nan,2.5,Betula nana
2020,06MAT,CT,4,4,Bet nan,19.3,Betula nana
2020,06MAT,CT,4,5,Bet nan,1.6,Betula nana
2016,06MAT,F5,1,1,Cal can,2.3,Calamagrostis canadensis
2016,06MAT,F10,1,1,Cal can,18.2,Calamagrostis canadensis
2016,06MAT,F10,1,2,Cal can,4.8,Calamagrostis canadensis
2016,06MAT,F10,1,3,Cal can,6.5,Calamagrostis canadensis
2016,06MAT,F5,2,1,Cal can,8.8,Calamagrostis canadensis
2016,06MAT,F5,2,2,Cal can,34.0,Calamagrostis canadensis
2016,06MAT,F5,2,3,Cal can,26.4,Calamagrostis canadensis
2016,06MAT,F5,2,4,Cal can,30.4,Calamagrostis canadensis
2016,06MAT,F5,2,5,Cal can,7.4,Calamagrostis canadensis
2016,06MAT,F5,2,6,Cal can,19.1,Calamagrostis canadensis
2016,06MAT,F5,2,7,Cal can,32.3,Calamagrostis canadensis
2016,06MAT,F5,2,8,Cal can,28.9,Calamagrostis canadensis
2016,06MAT,F10,2,1,Cal can,1.7,Calamagrostis canadensis
2016,06MAT,F10,2,3,Cal can,4.8,Calamagrostis canadensis
2016,06MAT,F10,2,4,Cal can,16.0,Calamagrostis canadensis
2016,06MAT,F10,2,5,Cal can,8.7,Calamagrostis canadensis
2016,06MAT,F10,2,6,Cal can,17.8,Calamagrostis canadensis
2016,06MAT,F10,2,7,Cal can,5.1,Calamagrostis canadensis
2016,06MAT,F10,2,8,Cal can,7.8,Calamagrostis canadensis
2016,06MAT,F2,3,1,Cal can,0.8,Calamagrostis canadensis
2016,06MAT,F2,3,2,Cal can,2.3,Calamagrostis canadensis
2016,06MAT,F2,3,3,Cal can,0.9,Calamagrostis canadensis
2016,06MAT,F2,3,4,Cal can,4.9,Calamagrostis canadensis
2016,06MAT,F2,3,6,Cal can,2.2,Calamagrostis canadensis
2016,06MAT,F2,3,7,Cal can,1.6,Calamagrostis canadensis
2016,06MAT,F2,3,8,Cal can,9.4,Calamagrostis canadensis
2016,06MAT,F5,3,1,Cal can,2.7,Calamagrostis canadensis
2016,06MAT,F5,3,2,Cal can,8.3,Calamagrostis canadensis
2016,06MAT,F5,3,3,Cal can,27.4,Calamagrostis canadensis
2016,06MAT,F5,3,4,Cal can,21.3,Calamagrostis canadensis
2016,06MAT,F5,3,5,Cal can,32.9,Calamagrostis canadensis
2016,06MAT,F5,3,6,Cal can,11.5,Calamagrostis canadensis
2016,06MAT,F5,3,7,Cal can,15.5,Calamagrostis canadensis
2016,06MAT,F5,3,8,Cal can,15.2,Calamagrostis canadensis
2016,06MAT,F10,3,7,Cal can,0.9,Calamagrostis canadensis
2017,06MAT,F10,1,1,Cal can,5.6,Calamagrostis canadensis
2017,06MAT,F10,1,2,Cal can,9.3,Calamagrostis canadensis
2017,06MAT,F10,1,3,Cal can,5.2,Calamagrostis canadensis
2017,06MAT,F10,1,4,Cal can,14.7,Calamagrostis canadensis
2017,06MAT,F10,1,5,Cal can,21.8,Calamagrostis canadensis
2017,06MAT,F10,1,6,Cal can,5.7,Calamagrostis canadensis
2017,06MAT,F10,1,7,Cal can,7.4,Calamagrostis canadensis
2017,06MAT,F10,1,8,Cal can,22.2,Calamagrostis canadensis
2017,06MAT,F5,2,1,Cal can,17.3,Calamagrostis canadensis
2017,06MAT,F5,2,2,Cal can,3.7,Calamagrostis canadensis
2017,06MAT,F5,2,3,Cal can,5.0,Calamagrostis canadensis
2017,06MAT,F5,2,4,Cal can,21.4,Calamagrostis canadensis
2017,06MAT,F5,2,5,Cal can,4.5,Calamagrostis canadensis
2017,06MAT,F5,2,6,Cal can,13.3,Calamagrostis canadensis
2017,06MAT,F5,2,7,Cal can,5.2,Calamagrostis canadensis
2017,06MAT,F5,2,8,Cal can,5.1,Calamagrostis canadensis
2017,06MAT,F10,2,1,Cal can,31.4,Calamagrostis canadensis
2017,06MAT,F10,2,2,Cal can,52.6,Calamagrostis canadensis
2017,06MAT,F10,2,3,Cal can,27.6,Calamagrostis canadensis
2017,06MAT,F10,2,4,Cal can,42.6,Calamagrostis canadensis
2017,06MAT,F10,2,5,Cal can,5.4,Calamagrostis canadensis
2017,06MAT,F10,2,6,Cal can,5.4,Calamagrostis canadensis
2017,06MAT,F10,2,7,Cal can,0.7,Calamagrostis canadensis
2017,06MAT,F10,2,8,Cal can,4.7,Calamagrostis canadensis
2017,06MAT,CT,3,5,Cal can,0.5,Calamagrostis canadensis
2017,06MAT,F2,3,3,Cal can,3.7,Calamagrostis canadensis
2017,06MAT,F2,3,4,Cal can,2.8,Calamagrostis canadensis
2017,06MAT,F2,3,5,Cal can,3.4,Calamagrostis canadensis
2017,06MAT,F2,3,6,Cal can,6.5,Calamagrostis canadensis
2017,06MAT,F2,3,7,Cal can,11.9,Calamagrostis canadensis
2017,06MAT,F2,3,8,Cal can,2.0,Calamagrostis canadensis
2017,06MAT,F5,3,1,Cal can,15.0,Calamagrostis canadensis
2017,06MAT,F5,3,2,Cal can,24.0,Calamagrostis canadensis
2017,06MAT,F5,3,3,Cal can,10.8,Calamagrostis canadensis
2017,06MAT,F5,3,4,Cal can,2.9,Calamagrostis canadensis
2017,06MAT,F5,3,5,Cal can,5.3,Calamagrostis canadensis
2017,06MAT,F5,3,6,Cal can,7.0,Calamagrostis canadensis
2017,06MAT,F5,3,7,Cal can,17.9,Calamagrostis canadensis
2017,06MAT,F5,3,8,Cal can,13.0,Calamagrostis canadensis
2017,06MAT,F10,3,1,Cal can,29.9,Calamagrostis canadensis
2017,06MAT,F10,3,2,Cal can,15.6,Calamagrostis canadensis
2017,06MAT,F10,3,3,Cal can,18.6,Calamagrostis canadensis
2017,06MAT,F10,3,4,Cal can,15.6,Calamagrostis canadensis
2017,06MAT,F10,3,5,Cal can,67.0,Calamagrostis canadensis
2017,06MAT,F10,3,6,Cal can,68.0,Calamagrostis canadensis
2017,06MAT,F10,3,7,Cal can,71.3,Calamagrostis canadensis
2017,06MAT,F10,3,8,Cal can,47.3,Calamagrostis canadensis
2018,06MAT,F2,1,1,Cal can,12.9,Calamagrostis canadensis
2018,06MAT,F2,1,2,Cal can,4.3,Calamagrostis canadensis
2018,06MAT,F2,1,3,Cal can,3.8,Calamagrostis canadensis
2018,06MAT,F2,1,4,Cal can,0.9,Calamagrostis canadensis
2018,06MAT,F5,1,1,Cal can,3.8,Calamagrostis canadensis
2018,06MAT,F5,1,2,Cal can,3.5,Calamagrostis canadensis
2018,06MAT,F5,1,3,Cal can,2.7,Calamagrostis canadensis
2018,06MAT,F5,1,4,Cal can,2.0,Calamagrostis canadensis
2018,06MAT,F5,1,5,Cal can,4.0,Calamagrostis canadensis
2018,06MAT,F5,1,6,Cal can,3.7,Calamagrostis canadensis
2018,06MAT,F10,1,1,Cal can,12.5,Calamagrostis canadensis
2018,06MAT,F10,1,2,Cal can,3.6,Calamagrostis canadensis
2018,06MAT,F10,1,3,Cal can,5.5,Calamagrostis canadensis
2018,06MAT,F10,1,4,Cal can,12.2,Calamagrostis canadensis
2018,06MAT,F10,1,5,Cal can,36.7,Calamagrostis canadensis
2018,06MAT,F10,1,6,Cal can,7.0,Calamagrostis canadensis
2018,06MAT,F10,1,7,Cal can,3.5,Calamagrostis canadensis
2018,06MAT,F10,1,8,Cal can,16.0,Calamagrostis canadensis
2018,06MAT,F5,2,1,Cal can,24.5,Calamagrostis canadensis
2018,06MAT,F5,2,2,Cal can,5.1,Calamagrostis canadensis
2018,06MAT,F5,2,3,Cal can,3.9,Calamagrostis canadensis
2018,06MAT,F5,2,4,Cal can,7.8,Calamagrostis canadensis
2018,06MAT,F5,2,5,Cal can,4.6,Calamagrostis canadensis
2018,06MAT,F5,2,6,Cal can,4.4,Calamagrostis canadensis
2018,06MAT,F5,2,7,Cal can,7.3,Calamagrostis canadensis
2018,06MAT,F5,2,8,Cal can,5.2,Calamagrostis canadensis
2018,06MAT,F10,2,1,Cal can,14.0,Calamagrostis canadensis
2018,06MAT,F10,2,2,Cal can,15.9,Calamagrostis canadensis
2018,06MAT,F10,2,3,Cal can,38.8,Calamagrostis canadensis
2018,06MAT,F10,2,4,Cal can,27.9,Calamagrostis canadensis
2018,06MAT,F10,2,5,Cal can,1.0,Calamagrostis canadensis
2018,06MAT,F10,2,6,Cal can,4.3,Calamagrostis canadensis
2018,06MAT,F10,2,7,Cal can,5.7,Calamagrostis canadensis
2018,06MAT,F10,2,8,Cal can,0.4,Calamagrostis canadensis
2018,06MAT,CT,3,1,Cal can,0.6,Calamagrostis canadensis
2018,06MAT,CT,3,3,Cal can,0.5,Calamagrostis canadensis
2018,06MAT,CT,3,4,Cal can,2.3,Calamagrostis canadensis
2018,06MAT,F2,3,2,Cal can,0.9,Calamagrostis canadensis
2018,06MAT,F2,3,3,Cal can,3.2,Calamagrostis canadensis
2018,06MAT,F2,3,4,Cal can,8.7,Calamagrostis canadensis
2018,06MAT,F2,3,5,Cal can,5.0,Calamagrostis canadensis
2018,06MAT,F2,3,6,Cal can,9.4,Calamagrostis canadensis
2018,06MAT,F2,3,7,Cal can,4.2,Calamagrostis canadensis
2018,06MAT,F2,3,8,Cal can,0.9,Calamagrostis canadensis
2018,06MAT,F5,3,1,Cal can,14.2,Calamagrostis canadensis
2018,06MAT,F5,3,2,Cal can,13.0,Calamagrostis canadensis
2018,06MAT,F5,3,3,Cal can,16.7,Calamagrostis canadensis
2018,06MAT,F5,3,4,Cal can,9.3,Calamagrostis canadensis
2018,06MAT,F5,3,5,Cal can,7.8,Calamagrostis canadensis
2018,06MAT,F5,3,6,Cal can,13.0,Calamagrostis canadensis
2018,06MAT,F5,3,7,Cal can,10.8,Calamagrostis canadensis
2018,06MAT,F5,3,8,Cal can,10.1,Calamagrostis canadensis
2018,06MAT,F10,3,1,Cal can,11.8,Calamagrostis canadensis
2018,06MAT,F10,3,2,Cal can,6.4,Calamagrostis canadensis
2018,06MAT,F10,3,3,Cal can,8.6,Calamagrostis canadensis
2018,06MAT,F10,3,4,Cal can,5.7,Calamagrostis canadensis
2018,06MAT,F10,3,5,Cal can,35.5,Calamagrostis canadensis
2018,06MAT,F10,3,6,Cal can,19.6,Calamagrostis canadensis
2018,06MAT,F10,3,7,Cal can,27.3,Calamagrostis canadensis
2018,06MAT,F10,3,8,Cal can,25.1,Calamagrostis canadensis
2019,06MAT,F5,1,1,Cal can,2.7,Calamagrostis canadensis
2019,06MAT,F5,1,5,Cal can,2.8,Calamagrostis canadensis
2019,06MAT,F5,1,6,Cal can,9.7,Calamagrostis canadensis
2019,06MAT,F5,1,7,Cal can,0.8,Calamagrostis canadensis
2020,06MAT,CT,1,1,Cal can,2.4,Calamagrostis canadensis
2020,06MAT,F2,1,1,Cal can,13.2,Calamagrostis canadensis
2020,06MAT,F2,1,2,Cal can,10.2,Calamagrostis canadensis
2020,06MAT,F2,1,3,Cal can,6.7,Calamagrostis canadensis
2020,06MAT,F2,1,4,Cal can,1.4,Calamagrostis canadensis
2020,06MAT,F2,1,5,Cal can,0.7,Calamagrostis canadensis
2020,06MAT,F5,1,1,Cal can,9.0,Calamagrostis canadensis
2020,06MAT,F5,1,2,Cal can,3.0,Calamagrostis canadensis
2020,06MAT,F5,1,3,Cal can,2.5,Calamagrostis canadensis
2020,06MAT,F5,1,4,Cal can,2.6,Calamagrostis canadensis
2020,06MAT,F5,1,5,Cal can,4.4,Calamagrostis canadensis
2020,06MAT,F10,1,1,Cal can,15.2,Calamagrostis canadensis
2020,06MAT,F10,1,2,Cal can,7.6,Calamagrostis canadensis
2020,06MAT,F10,1,3,Cal can,5.4,Calamagrostis canadensis
2020,06MAT,F10,1,4,Cal can,13.3,Calamagrostis canadensis
2020,06MAT,F10,1,5,Cal can,20.0,Calamagrostis canadensis
2020,06MAT,F5,2,1,Cal can,13.3,Calamagrostis canadensis
2020,06MAT,F5,2,2,Cal can,9.5,Calamagrostis canadensis
2020,06MAT,F5,2,3,Cal can,5.4,Calamagrostis canadensis
2020,06MAT,F5,2,4,Cal can,13.7,Calamagrostis canadensis
2020,06MAT,F5,2,5,Cal can,5.4,Calamagrostis canadensis
2020,06MAT,F10,2,1,Cal can,9.0,Calamagrostis canadensis
2020,06MAT,F10,2,2,Cal can,15.2,Calamagrostis canadensis
2020,06MAT,F10,2,3,Cal can,5.6,Calamagrostis canadensis
2020,06MAT,F10,2,4,Cal can,9.0,Calamagrostis canadensis
2020,06MAT,F10,2,5,Cal can,3.9,Calamagrostis canadensis
2020,06MAT,F2,3,2,Cal can,3.3,Calamagrostis canadensis
2020,06MAT,F2,3,3,Cal can,3.5,Calamagrostis canadensis
2020,06MAT,F2,3,4,Cal can,4.4,Calamagrostis canadensis
2020,06MAT,F2,3,5,Cal can,2.8,Calamagrostis canadensis
2020,06MAT,F5,3,1,Cal can,24.4,Calamagrostis canadensis
2020,06MAT,F5,3,2,Cal can,15.0,Calamagrostis canadensis
2020,06MAT,F5,3,3,Cal can,14.8,Calamagrostis canadensis
2020,06MAT,F5,3,4,Cal can,9.4,Calamagrostis canadensis
2020,06MAT,F5,3,5,Cal can,7.3,Calamagrostis canadensis
2020,06MAT,F10,3,1,Cal can,15.9,Calamagrostis canadensis
2020,06MAT,F10,3,2,Cal can,20.0,Calamagrostis canadensis
2020,06MAT,F10,3,3,Cal can,8.6,Calamagrostis canadensis
2020,06MAT,F10,3,4,Cal can,14.1,Calamagrostis canadensis
2020,06MAT,F10,3,5,Cal can,12.6,Calamagrostis canadensis
2020,06MAT,CT,4,1,Cal can,0.7,Calamagrostis canadensis
2020,06MAT,CT,4,2,Cal can,1.1,Calamagrostis canadensis
2011,06MAT,F10,1,1,Cal lap,0.8,Calamagrostis lapponica
2011,06MAT,F10,1,2,Cal lap,0.9,Calamagrostis lapponica
2011,06MAT,F10,1,3,Cal lap,3.4,Calamagrostis lapponica
2011,06MAT,F10,1,7,Cal lap,0.8,Calamagrostis lapponica
2011,06MAT,F10,1,8,Cal lap,4.5,Calamagrostis lapponica
2011,06MAT,F5,2,3,Cal lap,0.8,Calamagrostis lapponica
2011,06MAT,F5,2,4,Cal lap,0.7,Calamagrostis lapponica
2011,06MAT,F5,2,5,Cal lap,1.3,Calamagrostis lapponica
2011,06MAT,F5,2,6,Cal lap,2.4,Calamagrostis lapponica
2011,06MAT,F10,2,4,Cal lap,0.5,Calamagrostis lapponica
2011,06MAT,F10,2,5,Cal lap,2.6,Calamagrostis lapponica
2011,06MAT,F10,2,6,Cal lap,2.9,Calamagrostis lapponica
2011,06MAT,F10,2,7,Cal lap,2.3,Calamagrostis lapponica
2011,06MAT,F10,2,8,Cal lap,7.0,Calamagrostis lapponica
2011,06MAT,F5,3,4,Cal lap,0.7,Calamagrostis lapponica
2011,06MAT,F5,3,5,Cal lap,1.6,Calamagrostis lapponica
2011,06MAT,F10,3,1,Cal lap,22.3,Calamagrostis lapponica
2011,06MAT,F10,3,2,Cal lap,1.4,Calamagrostis lapponica
2011,06MAT,F10,3,3,Cal lap,1.3,Calamagrostis lapponica
2011,06MAT,F10,3,4,Cal lap,1.1,Calamagrostis lapponica
2011,06MAT,F10,3,5,Cal lap,4.1,Calamagrostis lapponica
2011,06MAT,F10,3,6,Cal lap,1.2,Calamagrostis lapponica
2011,06MAT,F10,3,7,Cal lap,0.6,Calamagrostis lapponica
2012,06MAT,F2,1,7,Cal lap,4.1,Calamagrostis lapponica
2012,06MAT,F10,1,1,Cal lap,1.9,Calamagrostis lapponica
2012,06MAT,F10,1,2,Cal lap,1.5,Calamagrostis lapponica
2012,06MAT,F10,1,3,Cal lap,3.7,Calamagrostis lapponica
2012,06MAT,F10,1,4,Cal lap,8.8,Calamagrostis lapponica
2012,06MAT,F10,1,5,Cal lap,0.7,Calamagrostis lapponica
2012,06MAT,F10,1,6,Cal lap,0.7,Calamagrostis lapponica
2012,06MAT,F10,1,7,Cal lap,1.0,Calamagrostis lapponica
2012,06MAT,F5,2,1,Cal lap,9.2,Calamagrostis lapponica
2012,06MAT,F5,2,2,Cal lap,3.0,Calamagrostis lapponica
2012,06MAT,F10,2,3,Cal lap,0.9,Calamagrostis lapponica
2012,06MAT,F10,2,4,Cal lap,0.7,Calamagrostis lapponica
2012,06MAT,F10,2,5,Cal lap,1.4,Calamagrostis lapponica
2012,06MAT,F10,2,6,Cal lap,3.2,Calamagrostis lapponica
2012,06MAT,F10,2,7,Cal lap,5.9,Calamagrostis lapponica
2012,06MAT,F10,2,8,Cal lap,11.6,Calamagrostis lapponica
2012,06MAT,F2,3,4,Cal lap,2.9,Calamagrostis lapponica
2012,06MAT,F2,3,5,Cal lap,0.9,Calamagrostis lapponica
2012,06MAT,F2,3,8,Cal lap,0.6,Calamagrostis lapponica
2012,06MAT,F5,3,2,Cal lap,0.8,Calamagrostis lapponica
2012,06MAT,F5,3,4,Cal lap,1.1,Calamagrostis lapponica
2012,06MAT,F5,3,5,Cal lap,3.1,Calamagrostis lapponica
2012,06MAT,F5,3,6,Cal lap,1.7,Calamagrostis lapponica
2012,06MAT,F5,3,7,Cal lap,0.9,Calamagrostis lapponica
2012,06MAT,F5,3,8,Cal lap,1.8,Calamagrostis lapponica
2012,06MAT,F10,3,1,Cal lap,4.1,Calamagrostis lapponica
2012,06MAT,F10,3,2,Cal lap,3.1,Calamagrostis lapponica
2012,06MAT,F10,3,3,Cal lap,3.2,Calamagrostis lapponica
2012,06MAT,F10,3,4,Cal lap,1.2,Calamagrostis lapponica
2012,06MAT,F10,3,5,Cal lap,6.3,Calamagrostis lapponica
2012,06MAT,F10,3,6,Cal lap,0.9,Calamagrostis lapponica
2012,06MAT,F10,3,7,Cal lap,3.5,Calamagrostis lapponica
2012,06MAT,F10,3,8,Cal lap,1.0,Calamagrostis lapponica
2013,06MAT,F2,1,1,Cal lap,6.2,Calamagrostis lapponica
2013,06MAT,F2,1,7,Cal lap,5.1,Calamagrostis lapponica
2013,06MAT,F2,1,8,Cal lap,1.2,Calamagrostis lapponica
2013,06MAT,F5,1,2,Cal lap,0.7,Calamagrostis lapponica
